id	GSM1820739	GSM1820740	GSM1820741	GSM1820742	GSM1820743	GSM1820744	GSM1820745	GSM1820746	GSM1820747	GSM1820748	GSM1820749	GSM1820750	GSM1820751	GSM1820752	GSM1820753	GSM1820754	GSM1820755	GSM1820756	GSM1820757	GSM1820758	GSM1820759	GSM1820760	GSM1820761	GSM1820762	GSM1820763	GSM1820764	GSM1820765	GSM1820766	GSM1820767	GSM1820768	GSM1820769	GSM1820770	GSM1820771	GSM1820772	GSM1820773	GSM1820774	GSM1820775	GSM1820776	GSM1820777	GSM1820778	GSM1820779	GSM1820780	GSM1820781	GSM1820782	GSM1820783	GSM1820784	GSM1820785	GSM1820786	GSM1820787	GSM1820788	GSM1820789	GSM1820790	GSM1820791	GSM1820792	GSM1820793	GSM1820794	GSM1820795	GSM1820796	GSM1820797	GSM1820798	GSM1820799	GSM1820800	GSM1820801	GSM1820802	GSM1820803	GSM1820804	GSM1820805	GSM1820806	GSM1820807	GSM1820808	GSM1820809	GSM1820810	GSM1820811	GSM1820812	GSM1820813	GSM1820814	GSM1820815	GSM1820816	GSM1820817	GSM1820818	GSM1820819	GSM1820820	GSM1820821	GSM1820822	GSM1820823	GSM1820824	GSM1820825	GSM1820826	GSM1820827	GSM1820828	GSM1820829	GSM1820830	GSM1820831	GSM1820832	GSM1820833	GSM1820834	GSM1820835	GSM1820836	GSM1820837	GSM1820838	GSM1820839	GSM1820840	GSM1820841	GSM1820842	GSM1820843	GSM1820844	GSM1820845	GSM1820846	GSM1820847	GSM1820848	GSM1820849	GSM1820850	GSM1820851	GSM1820852	GSM1820853	GSM1820854	GSM1820855	GSM1820856	GSM1820857	GSM1820858	GSM1820859	GSM1820860	GSM1820861	GSM1820862	GSM1820863	GSM1820864	GSM1820865	GSM1820866	GSM1820867	GSM1820868	GSM1820869	GSM1820870	GSM1820871	GSM1820872	GSM1820873	GSM1820874	GSM1820875	GSM1820876	GSM1820877	GSM1820878	GSM1820879	GSM1820880	GSM1820881	GSM1820882	GSM1820883	GSM1820884	GSM1820885	GSM1820886	GSM1820887	GSM1820888	GSM1820889	GSM1820890	GSM1820891	GSM1820892	GSM1820893	GSM1820894	GSM1820895	GSM1820896	GSM1820897	GSM1820898	GSM1820899	GSM1820900	GSM1820901	GSM1820902	GSM1820903	GSM1820904	GSM1820905	GSM1820906	GSM1820907	GSM1820908	GSM1820909	GSM1820910	GSM1820911	GSM1820912	GSM1820913	GSM1820914
Glycolysis . Gluconeogenesis	0.738805724	0.745307018	0.741637461	0.75300506	0.753260209	0.752376866	0.736447436	0.752158327	0.746697821	0.759350194	0.751651892	0.749019133	0.759201362	0.736928101	0.73479472	0.754202247	0.744024651	0.753403362	0.743577607	0.747043472	0.736335566	0.740174207	0.75361823	0.751223365	0.749521408	0.739904933	0.754696775	0.758809607	0.729390467	0.755173465	0.754229279	0.756201262	0.75552634	0.75747322	0.74890435	0.746066977	0.752065839	0.757863417	0.735166941	0.757664978	0.72189597	0.746473208	0.742587844	0.739651488	0.717544782	0.73286713	0.744566047	0.737188383	0.747432406	0.749210819	0.753526017	0.760676142	0.75159712	0.757836879	0.726093717	0.761441187	0.750597782	0.754553891	0.763280795	0.754622907	0.755172205	0.750959292	0.739803011	0.740247358	0.749879114	0.74248425	0.750540143	0.752787318	0.749241467	0.747228108	0.752765075	0.744711312	0.737345464	0.744002703	0.730681908	0.742879448	0.755159221	0.74906747	0.754469858	0.73426838	0.746012162	0.748670915	0.749339794	0.747862832	0.751824551	0.745356536	0.754211765	0.757940248	0.745363504	0.753109531	0.747187238	0.751631549	0.75256445	0.750510955	0.754895545	0.761523123	0.759853976	0.760496396	0.759450903	0.758620036	0.751469387	0.760656164	0.75665073	0.74953081	0.749192111	0.739704768	0.757036562	0.719949771	0.731034362	0.701928744	0.699282916	0.739382695	0.742974325	0.728527576	0.749267694	0.743720311	0.762575428	0.754083821	0.7454442	0.749413541	0.759883491	0.751702153	0.753665144	0.740765376	0.751077087	0.750573208	0.745215105	0.753877481	0.74866239	0.735710939	0.754410804	0.743322657	0.751581967	0.752812101	0.745798265	0.748301411	0.747452302	0.748566892	0.748395323	0.731390037	0.758408941	0.750018574	0.75753232	0.747173632	0.75279881	0.747724633	0.736596671	0.745608991	0.743867884	0.757555347	0.756110629	0.739821924	0.743655296	0.751869449	0.730203712	0.750244033	0.745742833	0.726206365	0.753758909	0.74587891	0.745917172	0.754657702	0.740308344	0.747098586	0.750417521	0.744277972	0.737348576	0.725902109	0.725044493	0.744811764	0.767498479	0.750741394	0.751128912	0.755409908	0.748378799	0.753835108
Citrate cycle (TCA cycle)	0.847245875	0.874422754	0.863961464	0.867492065	0.874998907	0.872196984	0.853356942	0.861627832	0.872169427	0.883920783	0.865662281	0.860281341	0.861015881	0.851142611	0.841036843	0.871601283	0.855535371	0.867501985	0.854093432	0.865728664	0.850857029	0.84845064	0.86105753	0.870996485	0.858221203	0.846570028	0.869684449	0.864546912	0.835177903	0.871990199	0.86492839	0.864476023	0.86361514	0.883687714	0.870439591	0.853471489	0.872645118	0.870002375	0.862533544	0.87611808	0.811821431	0.858157493	0.854585856	0.841454352	0.817898786	0.852739558	0.871956784	0.896711037	0.86630853	0.858355697	0.867389285	0.874181769	0.873442313	0.872516613	0.828154747	0.878762606	0.873997207	0.88901577	0.870559778	0.871688401	0.865337454	0.874456816	0.866412924	0.857910688	0.865604243	0.878436405	0.86823931	0.857920993	0.859807257	0.854403399	0.853619639	0.862530739	0.867943227	0.86871732	0.843277562	0.859920088	0.856513323	0.856801782	0.858851225	0.847425319	0.859767928	0.870027001	0.862139764	0.853672511	0.860857702	0.833123307	0.853134511	0.878022611	0.859930245	0.870048693	0.849882931	0.851874378	0.856337605	0.858839932	0.857287239	0.870342261	0.870866214	0.875002972	0.871316038	0.865653109	0.862231636	0.874608987	0.867062982	0.855925934	0.852516792	0.851050769	0.863058332	0.836729551	0.80445429	0.762573235	0.812037693	0.82260674	0.862905479	0.861114935	0.862650684	0.873403242	0.862031331	0.867597616	0.860092289	0.861021863	0.878001906	0.859399235	0.861955413	0.861515985	0.831337979	0.866130126	0.853392655	0.866931498	0.858354145	0.850591662	0.863433229	0.84988316	0.855639782	0.856658193	0.87625673	0.864149698	0.851424093	0.862754226	0.858717666	0.842910061	0.85305858	0.870979039	0.862804594	0.848824651	0.878585057	0.864605788	0.850719604	0.859747021	0.850066515	0.873695413	0.837783825	0.850221732	0.871414273	0.868526421	0.834960215	0.869120809	0.856836484	0.825672791	0.878087061	0.866906642	0.859443541	0.855839225	0.864565496	0.856594203	0.860203066	0.864468037	0.871840919	0.853487684	0.807454192	0.863474059	0.874958093	0.864779009	0.853595352	0.856670445	0.855027198	0.863278817
Pentose phosphate pathway	0.788411998	0.801555624	0.798279674	0.817779749	0.814207907	0.805829009	0.793818407	0.813067891	0.797083702	0.820538289	0.815955121	0.803477269	0.817748958	0.798142916	0.791552633	0.803265531	0.79051669	0.815680621	0.804402041	0.803447322	0.806250295	0.792687431	0.812202957	0.806664877	0.792240535	0.796043879	0.810157613	0.813826904	0.800269694	0.814643257	0.80351982	0.807301783	0.816178913	0.807018251	0.807065219	0.797769995	0.809524632	0.811166152	0.786641931	0.807897399	0.807226227	0.808463654	0.795782168	0.791324802	0.796329934	0.775522926	0.810467954	0.795830544	0.815571926	0.799168605	0.816248611	0.823000177	0.81646422	0.819632611	0.788905889	0.808949513	0.803370108	0.823613599	0.810184592	0.806637924	0.803482181	0.800980393	0.794635857	0.797578038	0.810205598	0.78404074	0.815368068	0.807237447	0.796929527	0.794870065	0.788811082	0.802676893	0.805956262	0.792544266	0.782276934	0.803516256	0.799487218	0.794310966	0.808118907	0.794100731	0.795619116	0.802309242	0.804549237	0.801478565	0.806260705	0.774144412	0.794017405	0.801702736	0.801565737	0.806274043	0.792816181	0.811876173	0.793696262	0.802533648	0.791717625	0.806108515	0.818489241	0.805084031	0.803508731	0.803313137	0.797946236	0.806920107	0.799939315	0.802334542	0.794172313	0.791646914	0.791522269	0.74730982	0.815818373	0.691151447	0.739470251	0.745927753	0.809268838	0.800693163	0.7885671	0.808621815	0.808768766	0.820076476	0.800954764	0.799998753	0.815385447	0.798506684	0.805850647	0.778368451	0.77905522	0.816662085	0.798950839	0.8060151	0.802680587	0.789980221	0.793327665	0.786672919	0.797262204	0.791483439	0.785630107	0.7963766	0.790191768	0.793111626	0.807495237	0.789441725	0.802241857	0.810228782	0.803055174	0.799600076	0.818150448	0.807800914	0.801583235	0.794974878	0.7938913	0.799523815	0.796367029	0.794788289	0.798072521	0.792980757	0.749828416	0.811765193	0.779910338	0.776960587	0.814651396	0.809166621	0.809443242	0.804557154	0.80407585	0.80643385	0.809189469	0.802381017	0.797079151	0.79051615	0.789654595	0.796962699	0.799068156	0.792758457	0.794718127	0.804233486	0.79815032	0.800054728
Pentose and glucuronate interconversions	0.604104483	0.615836309	0.615552907	0.624864981	0.612543696	0.606076918	0.610300137	0.610902942	0.609565149	0.607606769	0.598955543	0.608765657	0.609858479	0.611612657	0.603693393	0.605425386	0.621657544	0.595401561	0.595247945	0.615329153	0.580564549	0.607719292	0.595603677	0.593276578	0.610635033	0.586319149	0.645042494	0.591301353	0.612029672	0.602820423	0.598527336	0.612534944	0.605315582	0.613033947	0.623190593	0.594151506	0.606327489	0.5961747	0.604900895	0.599028687	0.555534254	0.610111516	0.60404386	0.606745852	0.591588154	0.596171641	0.611729151	0.595190665	0.595271973	0.596946486	0.601776288	0.593382189	0.608288282	0.596453051	0.556004563	0.601998709	0.599440316	0.608987959	0.602814054	0.587099608	0.60574145	0.586138133	0.603031003	0.602253606	0.618521472	0.593354888	0.612460383	0.606081228	0.611983253	0.624114345	0.602243812	0.585861819	0.609938067	0.609777381	0.622247486	0.610894754	0.620976579	0.634792295	0.633724575	0.616541402	0.602304012	0.617077301	0.598680179	0.595133491	0.610319646	0.59663376	0.587752927	0.610592001	0.597809616	0.616852477	0.606082471	0.587130532	0.599135515	0.60615954	0.604648083	0.591207704	0.60929378	0.614372909	0.577173345	0.599236653	0.612305553	0.60303214	0.614759914	0.607904969	0.601887274	0.603054118	0.596067734	0.626303928	0.623953383	0.658891266	0.587125728	0.630150486	0.606099283	0.604063897	0.621271216	0.60416652	0.611264538	0.607368955	0.60777927	0.602339795	0.615427487	0.61186908	0.607481134	0.603948506	0.62099829	0.632767242	0.588270647	0.599601202	0.632249839	0.602786174	0.627268752	0.591970669	0.607101608	0.608097106	0.637140161	0.631200409	0.612196261	0.620014406	0.616439594	0.617787803	0.625477931	0.5862608	0.607704217	0.58949382	0.603327445	0.613903626	0.587549354	0.596578609	0.607001723	0.598109735	0.603284704	0.626758295	0.610307669	0.599877817	0.619322087	0.616700252	0.641673303	0.635150455	0.61521303	0.616064433	0.607648916	0.616507088	0.605136585	0.590920216	0.619078723	0.599511019	0.613914385	0.604899307	0.598506651	0.572782133	0.582822245	0.585943089	0.596674609	0.566725434	0.591909471	0.581272314
Fructose and mannose metabolism	0.776669516	0.787867499	0.782468417	0.802651269	0.808652111	0.80281187	0.770356743	0.806942468	0.79269904	0.819279157	0.806244291	0.762574035	0.815985332	0.790202904	0.786387114	0.791690449	0.766650754	0.805435515	0.791289674	0.770998586	0.776253455	0.789644733	0.809272464	0.811414663	0.779631615	0.779096012	0.802960791	0.819545169	0.784899657	0.812166643	0.800082031	0.811688045	0.816072332	0.800128467	0.802590711	0.782061672	0.786075408	0.804691932	0.754565058	0.800495165	0.754798586	0.794125834	0.79133656	0.790982618	0.728687243	0.778527831	0.802525545	0.76185721	0.804546598	0.798984115	0.816732371	0.804655875	0.808700504	0.821528994	0.768043606	0.810802423	0.794264603	0.804779729	0.806985064	0.79520472	0.800073041	0.79846505	0.773886361	0.77099606	0.787466886	0.756394894	0.794720287	0.785365929	0.780609991	0.781401964	0.795824691	0.797585941	0.771660547	0.78291585	0.756518887	0.789707031	0.793780382	0.800903133	0.80122857	0.764460706	0.783868146	0.782860295	0.802216721	0.794766818	0.800126801	0.802473685	0.788658807	0.799263937	0.790595114	0.795765575	0.781080629	0.804980575	0.79762459	0.789008045	0.792981783	0.816929477	0.821399625	0.804107152	0.808700473	0.799587666	0.791515733	0.807478739	0.800628489	0.794931231	0.785631668	0.782554295	0.788603357	0.753940892	0.782501082	0.693873429	0.743473056	0.757405155	0.790244522	0.764874465	0.782528268	0.787330393	0.809927436	0.805980785	0.771120644	0.800273863	0.814416849	0.79701613	0.800224948	0.789205731	0.791068657	0.812155109	0.807452481	0.798719446	0.789788926	0.775979407	0.797862863	0.78215183	0.795728098	0.775770302	0.778553352	0.770232455	0.788843493	0.794076501	0.793550478	0.757442296	0.819153559	0.806704506	0.802976208	0.764296934	0.809583504	0.791001413	0.775044286	0.767417893	0.770218021	0.811114499	0.788622702	0.774794421	0.779644427	0.788800366	0.759289603	0.805654745	0.795778313	0.763173327	0.81662716	0.794370245	0.798867051	0.812978351	0.781737747	0.786043574	0.804606653	0.798483982	0.772104512	0.749017145	0.761489193	0.781177262	0.805894452	0.781653432	0.802940548	0.802182957	0.800533601	0.799225074
Galactose metabolism	0.763749597	0.771639389	0.750646054	0.771242694	0.769685751	0.769263437	0.741946939	0.761910672	0.76098538	0.780341055	0.769481856	0.752496597	0.77812299	0.757291186	0.748209968	0.76367265	0.750317984	0.773830424	0.751704109	0.754339056	0.755211396	0.756838066	0.772798389	0.770133511	0.763290257	0.750993376	0.779352602	0.773238115	0.75218762	0.777389016	0.769506555	0.774851669	0.7796561	0.766416109	0.764419528	0.757065256	0.750760102	0.771558793	0.735171352	0.783036408	0.73122218	0.758080014	0.764772705	0.770355836	0.689746747	0.761814899	0.752595719	0.72981563	0.765791236	0.766149378	0.772402974	0.768111657	0.772551608	0.780034391	0.75482069	0.775581709	0.760048343	0.769848018	0.775644934	0.775530852	0.763486911	0.767704141	0.744449929	0.749996021	0.768582665	0.752065776	0.777001838	0.764682994	0.755736075	0.757628402	0.757541734	0.764370574	0.73511492	0.75927298	0.703607667	0.757102359	0.771782572	0.775114739	0.767385027	0.738368427	0.760746319	0.766381112	0.777264615	0.77425155	0.770666166	0.742183617	0.777815789	0.767120175	0.766442683	0.767763844	0.769645306	0.779383614	0.768210229	0.769176776	0.781935057	0.787229659	0.788962669	0.778120601	0.781746647	0.771372808	0.769500983	0.78199398	0.772033621	0.772032228	0.757857104	0.759373921	0.763519599	0.696039946	0.743191187	0.696936287	0.688360815	0.728678014	0.765009319	0.728179392	0.754004996	0.756094048	0.765764101	0.76820575	0.752869381	0.772852778	0.79320958	0.76244969	0.765021187	0.751620849	0.763303793	0.778770216	0.772863067	0.776682226	0.765588628	0.734212466	0.770062411	0.739163079	0.77709922	0.764704323	0.75725219	0.745695141	0.775228266	0.765980002	0.770443167	0.73571293	0.80132371	0.774726592	0.773997827	0.727809962	0.768735513	0.762503716	0.738750241	0.752876489	0.746614002	0.774974309	0.765977942	0.742114016	0.741894702	0.767918867	0.717596685	0.779061829	0.780566091	0.713792588	0.771771575	0.753588355	0.770905906	0.781477865	0.755834204	0.762111129	0.764070224	0.766769432	0.748124846	0.718583249	0.736273519	0.769975849	0.799943529	0.775696929	0.766066479	0.778870112	0.769433196	0.768168325
Ascorbate and aldarate metabolism	0.554130547	0.529562055	0.541859983	0.536584431	0.531526352	0.517530303	0.546956908	0.522399709	0.512699249	0.518355555	0.513814884	0.570370734	0.53437034	0.527200771	0.511316503	0.537170395	0.560653671	0.508234501	0.513964713	0.531248048	0.521352004	0.532600092	0.518485472	0.51916499	0.543288452	0.50116168	0.589281297	0.516947956	0.533856244	0.519337095	0.502257954	0.535545537	0.51570684	0.538645124	0.547606691	0.519528624	0.529003372	0.514260755	0.528107627	0.522519299	0.465756902	0.53078962	0.509403297	0.568458006	0.543315229	0.536868549	0.525447905	0.51302218	0.498249118	0.51379849	0.507812078	0.505791227	0.515205929	0.503598913	0.485749861	0.503570213	0.523042707	0.516614888	0.521124892	0.489506367	0.51917089	0.485809459	0.534807501	0.546514425	0.527598595	0.505962325	0.523594002	0.520236397	0.519063829	0.556890166	0.530165144	0.502368772	0.537828429	0.526895291	0.570748369	0.535657011	0.552135349	0.54404904	0.572328595	0.552754827	0.538625076	0.527026046	0.513123747	0.535116089	0.523617416	0.568469131	0.50434288	0.521784297	0.507313356	0.536432055	0.521115582	0.495269346	0.544063091	0.515802443	0.525882581	0.496473536	0.51808554	0.533059749	0.521049139	0.518098681	0.505966831	0.520400384	0.538571507	0.531524776	0.515685719	0.509028024	0.507198931	0.58021914	0.61510859	0.664118657	0.491740631	0.574407004	0.530522971	0.517491946	0.533821047	0.515278812	0.547068584	0.538923945	0.510283039	0.52167799	0.526356603	0.546158811	0.51378277	0.516507283	0.550890621	0.531623023	0.504083489	0.522717964	0.562596537	0.534948366	0.556572689	0.519274295	0.539227606	0.558444283	0.563789395	0.55481412	0.531878866	0.543475592	0.541647258	0.550719694	0.570246779	0.493160824	0.542991908	0.493378273	0.521035189	0.54093615	0.533950729	0.534887708	0.539758941	0.522799603	0.569654651	0.52239888	0.536468575	0.518490926	0.571107891	0.53585501	0.582978495	0.562058705	0.541287058	0.552572209	0.533676004	0.545040997	0.520770689	0.506965557	0.549380981	0.529358712	0.531204654	0.514776364	0.534748251	0.468679426	0.490990534	0.510032576	0.506383854	0.487270776	0.48339279	0.481687393
Starch and sucrose metabolism	0.688131176	0.712135379	0.701423386	0.703621887	0.71689472	0.719336892	0.682153668	0.702668899	0.724525014	0.704569066	0.705716214	0.700670129	0.697512839	0.703108973	0.685146348	0.711386088	0.692438898	0.699176843	0.697789676	0.694122699	0.694626842	0.710167483	0.694532368	0.699515348	0.679367927	0.688175683	0.701581754	0.700676796	0.677832062	0.707736946	0.704129411	0.696217171	0.700394883	0.705497782	0.697254943	0.698383958	0.68029274	0.704199154	0.715095526	0.713711733	0.700612322	0.706874646	0.707735253	0.680383292	0.707288291	0.679116501	0.697473639	0.70166012	0.713269817	0.706175216	0.714981441	0.726218929	0.725277476	0.700050602	0.695013927	0.714655298	0.702192452	0.706275056	0.719044778	0.70582531	0.698720275	0.69998038	0.697253281	0.695328281	0.727954105	0.726825467	0.707988659	0.70640629	0.691838627	0.703342934	0.689741914	0.713808014	0.720830149	0.717288746	0.651465004	0.69798803	0.703426458	0.724181121	0.681534345	0.699685942	0.716701777	0.709152213	0.718879801	0.689769103	0.722801675	0.678074464	0.710710675	0.710875658	0.721161047	0.712237021	0.697222829	0.69992148	0.687477336	0.728876402	0.704728834	0.725358584	0.714293219	0.725018382	0.712258316	0.722132472	0.728030476	0.728263624	0.713914114	0.697965828	0.704823664	0.6897694	0.705448141	0.650783983	0.676841234	0.655216622	0.656481272	0.668390034	0.712439254	0.71559171	0.701668851	0.712937139	0.694116703	0.69304944	0.711552411	0.695643462	0.727671882	0.709768064	0.696795099	0.700222954	0.67704083	0.71501765	0.698114257	0.711187852	0.711847294	0.696950566	0.708632631	0.695048721	0.695215632	0.703413114	0.695777622	0.704666855	0.716030817	0.708267124	0.709764584	0.688973505	0.713934839	0.71458176	0.707585274	0.691194637	0.704876181	0.709392325	0.696396198	0.703129236	0.69671935	0.70098303	0.708093184	0.712699443	0.707755911	0.719160996	0.672437837	0.712063957	0.692096988	0.661517067	0.686506545	0.697819142	0.702256535	0.697464893	0.699710687	0.709569281	0.703482236	0.692658378	0.721531968	0.69514663	0.663323459	0.692358182	0.720596684	0.718102595	0.699560784	0.694963601	0.69288085	0.711864746
Amino sugar and nucleotide sugar metabolism	0.80065086	0.821726921	0.814327958	0.830969566	0.824216022	0.827300665	0.802158212	0.816623299	0.819966541	0.827760013	0.82377766	0.8152723	0.832175539	0.807516717	0.80182135	0.823430439	0.79931559	0.826942238	0.810105616	0.815090808	0.804962158	0.800564257	0.817987585	0.834136721	0.807535535	0.802422464	0.825105351	0.826920702	0.795839809	0.821540731	0.823899438	0.829648009	0.821368008	0.833665278	0.832462779	0.812532114	0.813591138	0.820748678	0.808795114	0.839953251	0.764917602	0.803338725	0.82314827	0.814910882	0.788229275	0.81843136	0.819392702	0.814461848	0.826812463	0.822841886	0.825377002	0.819647041	0.832107721	0.836150147	0.782442761	0.837264442	0.821996709	0.828399805	0.820529244	0.838228473	0.823415097	0.829620147	0.799260248	0.805462667	0.813648672	0.789357915	0.821550235	0.817073003	0.816960659	0.816711593	0.820056215	0.819243388	0.81448516	0.80682801	0.771623076	0.802064037	0.813335006	0.809645015	0.817889331	0.784657	0.804621564	0.818718689	0.822596611	0.823293909	0.824761577	0.820972301	0.820021776	0.821553468	0.819315122	0.823241867	0.822795507	0.817119931	0.825555185	0.812347208	0.817996267	0.829529236	0.832107849	0.830916196	0.820431076	0.819446437	0.821577932	0.829563598	0.828792075	0.807571479	0.802502445	0.81656521	0.815998533	0.755535271	0.776034098	0.716568575	0.775223384	0.789976368	0.816130155	0.80266126	0.817507964	0.825061169	0.818892718	0.813920666	0.804803105	0.807188283	0.835465622	0.812484762	0.806773122	0.807812359	0.814023378	0.829909225	0.812950366	0.818518428	0.824014422	0.805296474	0.812209607	0.795933178	0.818798416	0.816762074	0.821176756	0.817352948	0.804328616	0.827440272	0.822060904	0.796863362	0.831777679	0.818268536	0.822407364	0.793363338	0.832370457	0.823004904	0.792757263	0.799150926	0.805870427	0.822346913	0.806293296	0.816899067	0.818758381	0.809431936	0.766575759	0.829732217	0.820129079	0.763016677	0.83807616	0.820574542	0.819927446	0.827586838	0.812124721	0.824967389	0.831804385	0.820367511	0.823255132	0.80208203	0.797516649	0.809765266	0.826079249	0.826780387	0.82609934	0.829091956	0.817181839	0.816054706
Pyruvate metabolism	0.817715543	0.841173217	0.832220149	0.832864576	0.83688534	0.84470323	0.820840333	0.844340607	0.831723996	0.846243069	0.83559444	0.843745874	0.829067621	0.827387918	0.817856387	0.840088899	0.835048233	0.833908344	0.82949596	0.824072875	0.818317246	0.811600486	0.818974189	0.833879735	0.838669353	0.806034521	0.831445483	0.847687207	0.809629412	0.830849457	0.82519152	0.833589724	0.827118212	0.840428276	0.8423107	0.820652177	0.839873644	0.838488379	0.835776823	0.834559512	0.754818634	0.829529744	0.818170342	0.82316781	0.835809758	0.821852422	0.835193609	0.844756851	0.836245633	0.831353524	0.838649154	0.840293135	0.837913663	0.834941539	0.778047479	0.846444778	0.825786566	0.846326082	0.837417728	0.824764307	0.823894214	0.808344655	0.837603892	0.833170211	0.827626387	0.842262635	0.836043465	0.835988581	0.836005995	0.829682327	0.830070905	0.832454134	0.839529311	0.831491698	0.809026368	0.828172598	0.830518939	0.822821116	0.831318685	0.830997874	0.824297992	0.843621373	0.826031934	0.83325188	0.830882193	0.839871613	0.812874074	0.84263924	0.831159591	0.838265943	0.818634294	0.829152452	0.842748672	0.842899186	0.831334978	0.833132043	0.845214112	0.848844022	0.833181194	0.840782015	0.835855829	0.843950542	0.831165248	0.818852717	0.826024387	0.821445465	0.840578923	0.800518287	0.789076341	0.786724793	0.80731521	0.836145749	0.83473668	0.828802692	0.835741545	0.837614426	0.832440822	0.833596286	0.834142962	0.816182071	0.839342317	0.838712245	0.819196352	0.834360194	0.809542568	0.828950099	0.809556187	0.836879241	0.834846251	0.832643468	0.84139578	0.822221474	0.833462927	0.844273597	0.843300488	0.844679344	0.821160206	0.845846135	0.842894802	0.835329065	0.827588958	0.830596171	0.838316844	0.788988022	0.837324399	0.84273031	0.832415673	0.844215224	0.829032056	0.838449244	0.831017218	0.831151963	0.833973982	0.836327318	0.828456927	0.8408163	0.834522165	0.791722875	0.842160805	0.834603094	0.835858105	0.831516688	0.833528145	0.831545621	0.840322202	0.838397629	0.833730326	0.833503395	0.811203653	0.816508	0.810003587	0.832209441	0.818051732	0.819243387	0.809642371	0.820161893
Glyoxylate and dicarboxylate metabolism	0.806020352	0.820004048	0.824005298	0.813841826	0.819686748	0.824958825	0.819585348	0.818291236	0.826615994	0.825474906	0.824520118	0.826768106	0.819610784	0.816008865	0.807703461	0.821430811	0.813032903	0.820532194	0.814080603	0.812701965	0.809114649	0.816650488	0.811801898	0.820421391	0.807599133	0.80332167	0.820240971	0.827138244	0.798871336	0.818024744	0.807031028	0.818896228	0.819304671	0.819870382	0.824657065	0.806724305	0.818994571	0.81818317	0.81784292	0.814972367	0.763057595	0.818016868	0.801955493	0.817621014	0.814063447	0.795423966	0.825642638	0.814043158	0.830222751	0.812259824	0.82046935	0.822752749	0.824955452	0.816950864	0.761059252	0.82816995	0.804196031	0.839364298	0.814252468	0.792921422	0.803666974	0.791609186	0.817813892	0.807809142	0.807488911	0.802537499	0.823015869	0.810937296	0.810313694	0.806426317	0.79894285	0.821070979	0.818122879	0.819121441	0.806456938	0.813301858	0.808326248	0.799953027	0.809577673	0.819693775	0.809907662	0.823249098	0.81225854	0.80776402	0.819965984	0.801165797	0.786825917	0.818424207	0.817186995	0.822194601	0.792684116	0.808333978	0.819792719	0.821230465	0.800950519	0.816455046	0.82443898	0.822150052	0.816945697	0.82711508	0.822016282	0.81858905	0.819371982	0.810797565	0.801673189	0.79815575	0.805953303	0.792409885	0.764003495	0.743274298	0.768539067	0.762119605	0.823794449	0.811757016	0.816703665	0.821236346	0.819117974	0.824587662	0.818303439	0.821317058	0.820279983	0.824178283	0.810525618	0.78701425	0.800216113	0.818327336	0.812871861	0.81869162	0.827242474	0.809465851	0.820058465	0.805605953	0.821080202	0.822886854	0.820466409	0.809064167	0.805763879	0.826981052	0.817540333	0.798103642	0.81210138	0.82637113	0.823166382	0.767256041	0.824990837	0.812722834	0.813534916	0.820340458	0.799910877	0.8307199	0.806634437	0.8124164	0.806987072	0.814719609	0.77384801	0.81655379	0.81115493	0.770155625	0.810853553	0.80130712	0.822442836	0.808497463	0.822329982	0.812778078	0.81885737	0.819247788	0.808882106	0.812632609	0.803791446	0.819043018	0.804386256	0.812209835	0.816728897	0.812005576	0.813031087	0.821321124
